Id,Category_Id,Client_Id
1,4,123
2,6,127
3,9,129
4,10,131
5,10,132
6,11,133
7,11,134
8,21,144
9,21,145
10,22,149
11,23,154
12,23,155
13,24,156
14,27,160
15,27,161
16,27,162
17,27,163
18,28,167
19,32,172
20,35,176
21,36,178
22,37,179
23,37,180
24,37,181
25,39,183
26,44,144
27,48,192
28,48,193
29,50,155
30,42,196
31,42,198
32,42,201
33,42,202
34,43,204
35,43,208
36,43,210
37,43,214
38,43,216
39,19,223
40,23,223
41,21,237
42,43,245
43,18,261
44,114,167
45,115,268
46,116,269
47,37,268
48,120,276
49,44,282
50,46,163
51,121,285
52,23,294
53,43,298
54,22,303
55,21,310
56,126,310
57,23,313
58,25,313
59,128,316
60,129,316
61,43,318
62,21,323
63,44,323
64,23,327
65,8,327
66,134,332
67,43,350
68,129,354
69,142,389
70,31,389
71,43,410
72,42,415
73,43,417
74,21,421
75,44,421
76,149,424
77,43,425
78,121,431
79,153,433
80,154,436
81,23,436
82,155,439
83,28,442
84,129,433
85,43,476
86,21,477
87,44,477
88,23,490
89,29,494
90,27,494
91,9,496
92,43,498
93,43,499
94,4,500
95,126,504
96,120,505
97,44,506
98,175,506
99,44,508
100,176,508
101,21,504
102,42,517
103,42,518
104,21,519
105,37,519
106,169,527
107,170,527
108,23,529
109,177,529
110,22,532
111,43,537
112,43,538
113,4,545
114,136,545
115,43,559
116,109,560
117,43,561
118,180,562
119,129,566
120,129,566
121,43,566
122,3,569
123,43,570
124,9,571
125,43,572
126,181,572
127,182,316
128,175,421
129,122,577
130,42,578
131,22,579
132,21,579
133,32,579
134,43,579
135,144,583
136,183,583
137,27,583
138,184,586
139,185,586
140,27,588
141,23,588
142,43,590
143,43,591
144,35,593
145,23,594
146,19,594
147,21,596
148,32,596
149,186,598
150,122,571
151,181,566
152,187,566
153,129,603
154,185,603
155,182,603
156,114,606
157,44,607
158,188,607
159,179,609
160,189,609
161,188,609
162,37,612
163,188,612
164,129,612
