Id,Addr1,Addr2,Blurb,City,Client_Id,Created,Email,Freetxt,Name,State,Tel,Url,Zip
1,Rt. 22 West,Yes,"Britland Auto Body is a collision repair shop striving to have the highest quality repairs at competitive prices for customers. They have highly qualified collision repair technicians employed to perform the complex structural, mechanical, body, and refinishing work required to meet the industry repair quality standards. Britland Auto Body encourages you to stop in or get in touch with one of their representatives to make an appointment to get your vehicle back on the road. Britland Auto Body is licensed by the State of New Jersey to perform auto body and collision repairs. State License #00533A.",Green Brook,123,,,"<div class='boxheader'>
 Britland Auto Body
</div> 
<div class='box'>
226 U.S. Hwy. 22 <br>
Green Brook, NJ 08812<br>
(732) 752-5522<br>
<a href='http://www.britlandautobody.com/' target='_blank'>www.britlandautobody.com</a><Br>    
Hours: Monday- Sat. hours 7:30 am?5:30 pm, Closed on Sundays
</div>",Britland Auto Body,NJ,(732)752-5522,www.britlandautobody.com,08812
2,27 Mountain Blvd Suite 4,Yes,Chiropractic Center of Warren specializes in lower back disc injuries as well as all kinds of overuse and sports related injuries. Dr. Maffei has post-graduate training in the treatment of sports injuries and rehabilitation as well as treatment of lumbar disc disorders. He is always adding new state-of-the-art therapies to the practice in order to stay current in an environment where technology is constantly improving.,Warren,127,,,"<div class=""boxheader"">
Chiropractic Center of Warren
</div>
<div class=""box"">
Dr. Steven M. Maffei<br>
27 Mountain Blvd Suite 4<br> Warren, NJ 07059<br>
(908)753-2322<br>
<a href=""http://www.chiroofwarren.com"" target=""_blank"">www.chiroofwarren.com</a><br>
Hours:  Mon: 9:00 am - 7:00 pm, <br>Tue: 3:30 pm - 7:30 pm, Wed: 9:00 am - 7:00 pm,<br> Fri: 9:00 am - 7:00 pm
</div>",Chiropractic Center of Warren,NJ,(908)753-2322,www.chiroofwarren.com,07059
3,30-32 Coddington Ave.,Yes,"My staff and I believe that...
?The life of a dance teacher goes far beyond just teaching dance. You give every student you teach a part of you.<br>
The students carry what you have taught them and the values you have instilled in them forever. How wonderful it is to know that part of you will live on through your dance students, just because you love to dance and had passion to teach.? -Kimberli MacConnell, Owner/Director",North Plainfield,129,,,"<div class='boxheader'>Miss Kim's School of Dance</div>
<div class='box'>
Kimberli MacConnell<br>
30 Coddington Ave.<br>
North Plainfield, NJ 07060<br>
(908) 756-5972
</div>",Miss Kim's School of Dance,NJ,(908)756-5972,,07060
4,"163 Washington Valley Road, Suite 201",No,"Dr. Deschenes and his staff care about your total health picture and pledge to work with you to improve your health and help you stay well. The state of your mouth affects the entire profile of your health. He specializes in Preventative Dentistry, Restorative Services, Cosmetic Dentistry, Sleep Disorders, Implant Restoration, Root Canal and Bruxism Devices. Their office has a friendly, relaxed atmosphere that features a caring knowledgeable staff and state of the art equipment. Call today for your appointment!",Warren,131,,,,"Peter J. Deschenes, DDS",NJ,(732)271-1818,,07059
5,10 Mountain Blvd. Suite A1,Yes,"The Warren Smile Center provides full service Cosmetic and Implant Dentistry.  Whether your smile may benefit from tooth whitening, Invisalign?, or porcelain veneers, Warren Smile Center offers a comprehensive range of cosmetic services to enhance the appearance of your smile and the impact of your first impression. Services include general dentistry, implant & restorative dentistry, cosmetic dentistry, pediatric dentistry, periodontal treatment, and oral surgery provided by a specialist under IV sedation.",Warren,132,,,"<div class='boxheader'>Warren Smile Center</div> <div class='box'>Susanna Kayserman, DDS<br>10 Mountain Blvd. Suite A1<br> Warren, NJ 07059<br>(908)753-0003<br><a href='http://www.warrensmilecenter.com' target='_blank'>www.warrensmilecenter.com</a></div>",Warren Smile Center,NJ,(908)753-0003,www.warrensmilecenter.com,07059
6,65 Mountain Blvd. Ext. Suite 106,No,"Warren Oral Surgeon, Dr. James McMenamin, specializes in Oral and Maxillofacial Surgery. The dental practice is devoted to restoring and enhancing the natural beauty of your smile using conservative, state-of-the-art procedures that will result in beautiful, long lasting smiles! The team has been serving their surrounding communities for over 23 years.",Warren,133,,,,"Dr. McMenamin, Oral and Maxillofacial Surgeon",NJ,(732)356-1414,www.drmcmenaminoralsurgery.com,07059
7,31 Mountain Blvd. Suite T,Yes,"At Warren Oral Surgery, we are committed to providing our patients with the highest quality oral surgical care in a comfortable and friendly environment.  Our compassionate oral surgeons, Dr. Daniel Sullivan, Dr. Sanjeet Chaudhary and Dr. Shawn Lynn offer treatment for dental implants, wisdom teeth removal, routine extractions and more.",Warren,134,,,"<div class='boxheader'>Warren Oral Surgery</div>
<div class='box'>
31 Mountain Blvd. Suite T<br>
Warren, NJ 07059<br>
(732) 415 - 4295<br>
<a href='http://www.warrenoralsurgery.com' target='_blank'>www.warrenoralsurgery.com</a><br>
Hours: Monday ? Friday 8:00am to 5:00pm, <br>Saturday 8:00am to 12:00pm
</div>",Warren Oral Surgery,NJ,(732)415-4295,www.warrenoralsurgery.com,07059
8,977 Valley Road,Yes,"Angel Tips Nail Spa offers clients the highest quality nail, waxing, massage, spray tan, and facial services in a hygienic atmosphere. Their highly experienced technicians offer an array of services catered to your specific needs at an affordable price. They are equipped with the latest sanitation systems, including HEPA air purifiers, medical-grade autoclave sterilizers, and personal nail kits.",Gillette,144,,,"<div class=""boxheader"">
Angel Tips
</div>
<div class=""box"">
977 Valley Road<br> Gillette, NJ 07933<br>
Phone:(908)580-1080, Fax:(908)580-1095<br>
<a href=""http://www.angeltips.com/gillette"" target=""_blank"">www.angeltips.com/gillette</a><br>
Hours: Mon. ? Sat. 9:30 am ? 7:00 pm, Sun. 10:00 am ? 6:00 pm
</div>",Angel Tips,NJ,Phone:(908)580-1080,www.angeltips.com/gillette,07933
9,28 Johnston Dr.,Yes,"YY Beauty Spa is the ideal place to go for those wishing to rejuvenate and restore their skin through a variety of services that include facials, massages, hair removal and much more. They use the latest technology, techniques, and quality products to maximize the overall effectiveness of the service and to provide you with a better experience.",Watchung,145,,,"<div class='boxheader'>YY Beauty Day Spa</div>
<div class='box'>
28 Johnston Dr.<br>
Watchung, NJ 07069<br>
Phone: (908)756-3502<br>
<a href='http://www.skinstation.com' target='_blank'>www.skinstation.com</a><br>
Open 7 Days 9:30am-8pm
</div>",YY Beauty,NJ,Phone: (908)756-3502,www.skinstation.com,07069
10,27 Mountain Boulevard Suite 8,Yes,"United Acupuncture Health Center can help you reduce your pain and stress. Their office provides high quality care in all aspects of acupuncture and Chinese herbal medicine to help their clients mentally and physically, guiding them towards better health. United Acupuncture Health Center accepts most major insurance companies.",Warren,149,,,"<div class=""boxheader"">
United Acupuncture Health Center
</div>
<div class=""box"">
Crosspointe<br>
27 Mountain Boulevard Suite 8<br> Warren , NJ 07059<br>
(908)756-1538<br>
Hours: Mon-Fri 10 am-7 pm, Sat 9am-1 pm
</div>",United Acupuncture Health Center,NJ,(908)756-1538,,07059
